Training epoch 0
[1/500][920/1383]	LossTot: 1064419.8750	LossRec: 1064419.8750
[1/500][930/1383]	LossTot: 3212520.0000	LossRec: 3212520.0000
[1/500][940/1383]	LossTot: 893345.7500	LossRec: 893345.7500
[1/500][950/1383]	LossTot: 1000543.2500	LossRec: 1000543.2500
[1/500][960/1383]	LossTot: 653835.6250	LossRec: 653835.6250
[1/500][970/1383]	LossTot: 628123.8750	LossRec: 628123.8750
[1/500][980/1383]	LossTot: 848528.8750	LossRec: 848528.8750
[1/500][990/1383]	LossTot: 2339865.5000	LossRec: 2339865.5000
[1/500][1000/1383]	LossTot: 1089175.5000	LossRec: 1089175.5000
[1/500][1010/1383]	LossTot: 911051.0000	LossRec: 911051.0000
[1/500][1020/1383]	LossTot: 1262288.5000	LossRec: 1262288.5000
[1/500][1030/1383]	LossTot: 693663.4375	LossRec: 693663.4375
[1/500][1040/1383]	LossTot: 961334.8750	LossRec: 961334.8750
[1/500][1050/1383]	LossTot: 1425850.1250	LossRec: 1425850.1250
[1/500][1060/1383]	LossTot: 2704912.0000	LossRec: 2704912.0000
[1/500][1070/1383]	LossTot: 1397739.6250	LossRec: 1397739.6250
[1/500][1080/1383]	LossTot: 1570065.6250	LossRec: 1570065.6250
[1/500][1090/1383]	LossTot: 1093225.7500	LossRec: 1093225.7500
[1/500][1100/1383]	LossTot: 1448226.7500	LossRec: 1448226.7500
[1/500][1110/1383]	LossTot: 1433995.5000	LossRec: 1433995.5000
[1/500][1120/1383]	LossTot: 3250558.2500	LossRec: 3250558.2500
[1/500][1130/1383]	LossTot: 869519.0000	LossRec: 869519.0000
[1/500][1140/1383]	LossTot: 4061136.2500	LossRec: 4061136.2500
[1/500][1150/1383]	LossTot: 1443153.6250	LossRec: 1443153.6250
[1/500][1160/1383]	LossTot: 862563.5625	LossRec: 862563.5625
[1/500][1170/1383]	LossTot: 1167751.8750	LossRec: 1167751.8750
[1/500][1180/1383]	LossTot: 1299291.5000	LossRec: 1299291.5000
[1/500][1190/1383]	LossTot: 1232293.0000	LossRec: 1232293.0000
[1/500][1200/1383]	LossTot: 847548.0625	LossRec: 847548.0625
[1/500][1210/1383]	LossTot: 777331.1250	LossRec: 777331.1250
[1/500][1220/1383]	LossTot: 1086913.8750	LossRec: 1086913.8750
[1/500][1230/1383]	LossTot: 720638.7500	LossRec: 720638.7500
[1/500][1240/1383]	LossTot: 513206.2500	LossRec: 513206.2500
[1/500][1250/1383]	LossTot: 982580.6250	LossRec: 982580.6250
[1/500][1260/1383]	LossTot: 675501.8750	LossRec: 675501.8750
[1/500][1270/1383]	LossTot: 843467.9375	LossRec: 843467.9375
[1/500][1280/1383]	LossTot: 774354.1250	LossRec: 774354.1250
[1/500][1290/1383]	LossTot: 638354.6250	LossRec: 638354.6250
[1/500][1300/1383]	LossTot: 546051.9375	LossRec: 546051.9375
[1/500][1310/1383]	LossTot: 4527055.0000	LossRec: 4527055.0000
[1/500][1320/1383]	LossTot: 3574803.5000	LossRec: 3574803.5000
[1/500][1330/1383]	LossTot: 4203538.0000	LossRec: 4203538.0000
[1/500][1340/1383]	LossTot: 1904817.7500	LossRec: 1904817.7500
[1/500][1350/1383]	LossTot: 1242506.3750	LossRec: 1242506.3750
[1/500][1360/1383]	LossTot: 1754534.6250	LossRec: 1754534.6250
[1/500][1370/1383]	LossTot: 1505124.3750	LossRec: 1505124.3750
[1/500][1380/1383]	LossTot: 1147117.0000	LossRec: 1147117.0000
epoch [2/500], loss:3345885.375
epoch [2/500], loss:4456548.7500, Rec loss:2228274.3750
Training epoch 2
[2/500][0/1383]	LossTot: 1995906.7500	LossRec: 1995906.7500
[2/500][10/1383]	LossTot: 1970220.2500	LossRec: 1970220.2500
[2/500][20/1383]	LossTot: 1213212.7500	LossRec: 1213212.7500
[2/500][30/1383]	LossTot: 1485145.8750	LossRec: 1485145.8750
[2/500][40/1383]	LossTot: 1573320.5000	LossRec: 1573320.5000
[2/500][50/1383]	LossTot: 869235.1250	LossRec: 869235.1250
[2/500][60/1383]	LossTot: 2603740.7500	LossRec: 2603740.7500
[2/500][70/1383]	LossTot: 727037.3750	LossRec: 727037.3750
[2/500][80/1383]	LossTot: 654956.1250	LossRec: 654956.1250
[2/500][90/1383]	LossTot: 700071.1250	LossRec: 700071.1250
[2/500][100/1383]	LossTot: 1022691.5000	LossRec: 1022691.5000
[2/500][110/1383]	LossTot: 995045.6250	LossRec: 995045.6250
[2/500][120/1383]	LossTot: 592877.9375	LossRec: 592877.9375
[2/500][130/1383]	LossTot: 377263.0938	LossRec: 377263.0938
[2/500][140/1383]	LossTot: 447946.7812	LossRec: 447946.7812
[2/500][150/1383]	LossTot: 917679.8750	LossRec: 917679.8750
[2/500][160/1383]	LossTot: 728140.0000	LossRec: 728140.0000
[2/500][170/1383]	LossTot: 928215.1250	LossRec: 928215.1250
[2/500][180/1383]	LossTot: 950689.5000	LossRec: 950689.5000
[2/500][190/1383]	LossTot: 924697.7500	LossRec: 924697.7500
[2/500][200/1383]	LossTot: 10070087.0000	LossRec: 10070087.0000
[2/500][210/1383]	LossTot: 2953056.7500	LossRec: 2953056.7500
[2/500][220/1383]	LossTot: 1475905.8750	LossRec: 1475905.8750
[2/500][230/1383]	LossTot: 1265942.6250	LossRec: 1265942.6250
[2/500][240/1383]	LossTot: 1171169.5000	LossRec: 1171169.5000
[2/500][250/1383]	LossTot: 996684.0000	LossRec: 996684.0000
[2/500][260/1383]	LossTot: 732094.9375	LossRec: 732094.9375
[2/500][270/1383]	LossTot: 661300.8125	LossRec: 661300.8125
[2/500][280/1383]	LossTot: 1393691.2500	LossRec: 1393691.2500
[2/500][290/1383]	LossTot: 1313485.1250	LossRec: 1313485.1250
[2/500][300/1383]	LossTot: 1217409.1250	LossRec: 1217409.1250
[2/500][310/1383]	LossTot: 1748463.2500	LossRec: 1748463.2500
[2/500][320/1383]	LossTot: 2022064.1250	LossRec: 2022064.1250
[2/500][330/1383]	LossTot: 1014884.2500	LossRec: 1014884.2500
[2/500][340/1383]	LossTot: 1302459.0000	LossRec: 1302459.0000
[2/500][350/1383]	LossTot: 1416151.5000	LossRec: 1416151.5000
[2/500][360/1383]	LossTot: 1453083.0000	LossRec: 1453083.0000
[2/500][370/1383]	LossTot: 777963.6250	LossRec: 777963.6250
[2/500][380/1383]	LossTot: 685388.1250	LossRec: 685388.1250
[2/500][390/1383]	LossTot: 643800.6250	LossRec: 643800.6250
[2/500][400/1383]	LossTot: 719446.6875	LossRec: 719446.6875
[2/500][410/1383]	LossTot: 732341.5000	LossRec: 732341.5000
[2/500][420/1383]	LossTot: 573118.2500	LossRec: 573118.2500
[2/500][430/1383]	LossTot: 1079713.6250	LossRec: 1079713.6250
[2/500][440/1383]	LossTot: 722775.6875	LossRec: 722775.6875
[2/500][450/1383]	LossTot: 659169.3125	LossRec: 659169.3125
[2/500][460/1383]	LossTot: 976604.4375	LossRec: 976604.4375
[2/500][470/1383]	LossTot: 2737536.5000	LossRec: 2737536.5000
[2/500][480/1383]	LossTot: 2136789.7500	LossRec: 2136789.7500
[2/500][490/1383]	LossTot: 791935.5000	LossRec: 791935.5000
[2/500][500/1383]	LossTot: 966546.8125	LossRec: 966546.8125
[2/500][510/1383]	LossTot: 1404015.5000	LossRec: 1404015.5000
[2/500][520/1383]	LossTot: 1301919.2500	LossRec: 1301919.2500
[2/500][530/1383]	LossTot: 765217.7500	LossRec: 765217.7500
[2/500][540/1383]	LossTot: 1339919.7500	LossRec: 1339919.7500
